text,risk_level
Disfruto pasar tiempo con mi familia,0
Todo va bien en mi vida,0
Estoy contento con mis logros,0
Estoy contento con mis logros,0
Las cosas están mejorando,0
Me siento motivado para seguir adelante,0
Todo va bien en mi vida,0
Estoy contento con mis logros,0
Disfruto pasar tiempo con mi familia,0
Estoy contento con mis logros estoy desesperado,0
Disfruto pasar tiempo con mi familia no sé qué hacer,0
Todo va bien en mi vida estoy desesperado,0
Me siento motivado para seguir adelante,0
Todo va bien en mi vida ayuda por favor,0
Todo va bien en mi vida estoy desesperado,0
"Hoy me siento bien, gracias por preguntar no sé qué hacer",0
"Hoy me siento bien, gracias por preguntar",0
Todo va bien en mi vida no sé qué hacer,0
Todo va bien en mi vida no sé qué hacer,0
Me siento motivado para seguir adelante,0
Disfruto pasar tiempo con mi familia,0
Todo va bien en mi vida,0
Las cosas están mejorando,0
Disfruto pasar tiempo con mi familia,0
Estoy contento con mis logros,0
Estoy contento con mis logros estoy desesperado,0
Disfruto pasar tiempo con mi familia estoy desesperado,0
Las cosas están mejorando,0
Estoy contento con mis logros,0
Las cosas están mejorando no sé qué hacer,0
"Hoy me siento bien, gracias por preguntar ayuda por favor",0
"Hoy me siento bien, gracias por preguntar",0
"Hoy me siento bien, gracias por preguntar",0
"Hoy me siento bien, gracias por preguntar",0
Todo va bien en mi vida ayuda por favor,0
Me siento motivado para seguir adelante estoy desesperado,0
Las cosas están mejorando,0
Disfruto pasar tiempo con mi familia no sé qué hacer,0
Disfruto pasar tiempo con mi familia,0
"Hoy me siento bien, gracias por preguntar",0
Disfruto pasar tiempo con mi familia,0
Las cosas están mejorando estoy desesperado,0
"Hoy me siento bien, gracias por preguntar no sé qué hacer",0
Estoy contento con mis logros,0
Me siento motivado para seguir adelante estoy desesperado,0
Estoy contento con mis logros,0
"Hoy me siento bien, gracias por preguntar",0
"Hoy me siento bien, gracias por preguntar ayuda por favor",0
Todo va bien en mi vida,0
"Hoy me siento bien, gracias por preguntar estoy desesperado",0
Me siento motivado para seguir adelante ayuda por favor,0
Las cosas están mejorando,0
Todo va bien en mi vida,0
Me siento motivado para seguir adelante,0
Todo va bien en mi vida ayuda por favor,0
Estoy contento con mis logros,0
"Hoy me siento bien, gracias por preguntar estoy desesperado",0
Estoy contento con mis logros,0
